cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_permanente,permanente,0.95,0.05,True,11,pib_real,% em relação ao benchmark,100,-1.289899951652415,-1.2863822276172665,0.04398288729237254,-1.3688468562484368,-1.3181040385397442,-1.2597083767349053,-1.2124170499861155,0.004398288729237254,-1.29852059756172,-1.28127930574311,True
choque_05pct_permanente,permanente,0.95,0.05,True,11,taxa_desemprego,p.p. em relação ao benchmark,100,0.18872522550536094,0.1886531622112844,0.01693517417645812,0.1649184019506538,0.17824361262813654,0.1989650003668304,0.21719362675946421,0.0016935174176458119,0.18540593136677516,0.19204451964394673,True
choque_05pct_permanente,permanente,0.95,0.05,True,12,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.22960356881625774,-0.22847031620320496,0.012167483007873722,-0.25280551817660385,-0.2356094001478223,-0.22077194003322517,-0.2123184534417458,0.0012167483007873721,-0.231988395485801,-0.22721874214671448,True
choque_05pct_permanente,permanente,0.95,0.05,True,12,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.392734229667393,0.3860072761639757,0.025968589852837596,0.3586508169029206,0.37339354592891005,0.41197041642305754,0.4411847415027957,0.0025968589852837596,0.38764438605623686,0.3978240732785492,True
choque_05pct_permanente,permanente,0.95,0.05,True,12,inflacao,p.p. em relação ao benchmark,100,0.2483303451396965,0.2506614545913277,0.025723673089860538,0.20820113476386787,0.22945737811399525,0.2639219867256126,0.29092230001215635,0.0025723673089860536,0.24328850521408385,0.2533721850653092,True
choque_05pct_permanente,permanente,0.95,0.05,True,12,pib_real,% em relação ao benchmark,100,-1.4790073335215796,-1.4798005491402533,0.043360884776935706,-1.5505359947850728,-1.5089127009382641,-1.4501609977362162,-1.4087389552203686,0.0043360884776935706,-1.487506066937859,-1.4705086001053003,True
choque_05pct_permanente,permanente,0.95,0.05,True,12,taxa_desemprego,p.p. em relação ao benchmark,100,0.19913473214288385,0.19488273888387114,0.02466978967629537,0.1683404469931402,0.18164292050856856,0.21210530485835447,0.2475083522708462,0.002466978967629537,0.19429945336632995,0.20397001091943776,True
choque_05pct_permanente,permanente,0.95,0.05,True,13,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.26356353045330616,-0.2628726325119086,0.014830537211929461,-0.2895140521758008,-0.2758704121455886,-0.2543642716709319,-0.23935576273857576,0.001483053721192946,-0.2664703157468443,-0.260656745159768,True
choque_05pct_permanente,permanente,0.95,0.05,True,13,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.38864524850412174,0.38451218540252596,0.03062366268449858,0.34605002410430596,0.3656250512850734,0.4060320423063139,0.4503530817641109,0.003062366268449858,0.38264301061796,0.39464748639028346,True
choque_05pct_permanente,permanente,0.95,0.05,True,13,inflacao,p.p. em relação ao benchmark,100,0.2140577459108423,0.21397627391898094,0.03414699041591481,0.1576170050988257,0.19457295728705354,0.24320785780870818,0.25967910522748044,0.0034146990415914813,0.207364935789323,0.22075055603236163,True
