cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,horizonte,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_temporario,temporario,0.95,0.05,False,25,final,pib_real,% em relação ao benchmark,100,-0.06679584559281912,-0.07302454678418946,0.045101489339751125,-0.12760907793883558,-0.0934573021711626,-0.05033325705490753,0.02204268530649358,0.004510148933975113,-0.07563573750341034,-0.0579559536822279,True
choque_05pct_temporario,temporario,0.95,0.05,False,25,final,taxa_desemprego,p.p. em relação ao benchmark,100,-0.02154222662764094,-0.019333782718112348,0.02894993220293491,-0.07489320325016481,-0.03593529234125095,-0.0026372720234888996,0.01732446300211832,0.002894993220293491,-0.027216413339416184,-0.015868039915865696,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,5,impacto,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.0032300481709320174,-0.0038383231167761003,0.004048902434603768,-0.008195564236790406,-0.006769208346610725,1.2710811118299871e-05,0.004387686363495783,0.0004048902434603768,-0.004023633048114356,-0.002436463293749679,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,5,impacto,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.04374712033648576,0.04698593571336795,0.022575944327336332,0.0012205686376185305,0.02558808000461955,0.06337218238815635,0.07219031333875392,0.002257594432733633,0.03932223524832784,0.048172005424643685,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,5,impacto,inflacao,p.p. em relação ao benchmark,100,0.20516409649294348,0.19752112344615375,0.04879517877061762,0.15067098231069437,0.16263924578439057,0.244536382449817,0.29705260499871095,0.004879517877061762,0.19560024145390242,0.21472795153198454,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,5,impacto,pib_real,% em relação ao benchmark,100,-0.22326464187087844,-0.21335028008540585,0.061611736944130004,-0.33688761096618886,-0.2743959774354709,-0.16820427642270647,-0.15390297341065282,0.006161173694413,-0.2353405423119279,-0.21118874142982896,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,5,impacto,taxa_desemprego,p.p. em relação ao benchmark,100,0.01468513715905473,0.01283826859827595,0.008939768936763248,0.01077884980323643,0.01202300595727865,0.014613973875091751,0.02230685510531127,0.0008939768936763248,0.012932942447449134,0.016437331870660328,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,6,+1,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.01621481063867158,-0.017189627087399947,0.006363297033834537,-0.023737447794201096,-0.021309745306265924,-0.012829208584413224,-0.00469452162501434,0.0006363297033834537,-0.01746201685730315,-0.014967604420040012,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,6,+1,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.1398992393482167,0.14373601379144765,0.01800544311536983,0.1083265869178416,0.1304999906403807,0.1524704541679727,0.16158530634298424,0.0018005443115369831,0.1363701724976042,0.14342830619882918,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,6,+1,inflacao,p.p. em relação ao benchmark,100,0.2923811942531249,0.28625088853981845,0.022804727553692887,0.2726257780164687,0.2803445886456757,0.2938255023931857,0.33907926040700254,0.002280472755369289,0.2879114676526011,0.2968509208536487,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,6,+1,pib_real,% em relação ao benchmark,100,-0.4316528975014012,-0.4205481433054048,0.0338409558376495,-0.4933584433881027,-0.43907531766277924,-0.4103217471833065,-0.396996276880438,0.0033840955837649497,-0.4382857248455805,-0.4250200701572219,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,6,+1,taxa_desemprego,p.p. em relação ao benchmark,100,0.05169685283114288,0.05298221995984335,0.012397508628254774,0.03036383916783408,0.0449362458287111,0.05853176741103493,0.06531452183318916,0.0012397508628254775,0.04926694114000494,0.05412676452228082,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,10,+5,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.2431606808978524,-0.2427421899564294,0.013991783933693366,-0.26485299597636003,-0.25319997820488516,-0.2324866440050363,-0.22342531060075113,0.0013991783933693367,-0.2459030705488563,-0.2404182912468485,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,10,+5,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.5346363432602482,0.5378740048403594,0.031183433040065888,0.4926096535879661,0.513865556341004,0.5595695342187124,0.5768336196945658,0.003118343304006589,0.5285243903843954,0.5407482961361011,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,10,+5,inflacao,p.p. em relação ao benchmark,100,0.5127197812333546,0.5159011980725992,0.026743994491500618,0.46385145030804376,0.49478858400356923,0.5337933686384355,0.5452568948046732,0.002674399449150062,0.5074779583130204,0.5179616041536887,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,10,+5,pib_real,% em relação ao benchmark,100,-1.9505439338827828,-1.9459037591174735,0.04655123455940304,-2.0254542032922247,-1.9890197576367925,-1.9138405680017956,-1.8928656898193617,0.004655123455940304,-1.9596679758564257,-1.9414198919091399,True
