rank,taxa_crescimento_populacional,taxa_crescimento_demanda_autonoma,a1,a3,velocidade_ajuste_expectativa_demanda,lambda_expectativa_precos,velocidade_ajuste_estoques_firmas,gamma_investimento_capacidade,gamma_investimento_retorno,eta_preco_padrao,eta_qualidade_padrao,parametro_markup,rho_qualidade,sigma_qualidade,rho_produtividade_idiossincratica,sigma_produtividade_idiossincratica,loss
80,0.003,-0.0034999999999999858,0.47,0.6600000000000001,0.23000000000000004,0.25,0.19,0.12,0.98,-2.400000000000002,0.25,0.45,0.96,0.15,0.72,0.015,17.548121923932918
81,0.0043,0.036000000000000046,0.16999999999999996,0.8100000000000002,0.9300000000000002,1.1500000000000001,0.67,0.55,0.33,-1.6500000000000048,1.2499999999999998,0.06,0.17,0.030000000000000002,0.88,0.034999999999999996,17.850930780585106
82,0.0033,0.04400000000000005,0.27999999999999997,0.35000000000000003,0.8200000000000002,1.35,0.25,0.28,0.29,-1.1500000000000066,2.0999999999999996,0.24,0.58,0.095,0.38,0.115,18.841296048825065
83,0.0109,0.05050000000000006,0.12999999999999998,0.36000000000000004,0.34,1.0,0.21,0.78,0.06,-2.100000000000003,0.44999999999999996,0.28,0.58,0.15,0.88,0.07500000000000001,18.934814275017324
84,0.0036000000000000003,0.012500000000000028,0.5399999999999999,0.9700000000000002,0.6700000000000002,0.45,0.14,0.97,0.68,-0.8500000000000076,2.1999999999999993,0.17,0.36,0.06,0.07,0.06,19.159329654736815
85,0.0057,0.012500000000000028,0.26999999999999996,0.9400000000000002,0.7700000000000002,1.05,0.13,0.9400000000000001,0.03,-1.600000000000005,0.49999999999999994,0.33,0.2,0.08,0.87,0.10500000000000001,19.229056352958025
86,0.0055000000000000005,0.05550000000000006,0.59,0.44000000000000006,0.33,0.9,0.05,0.73,0.39,-1.1500000000000066,1.3499999999999996,0.01,0.03,0.125,0.0,0.005,19.60095802787967
87,0.005600000000000001,0.057000000000000065,0.59,0.41000000000000003,0.31,0.9,0.05,0.72,0.39,-1.1500000000000066,1.3499999999999996,0.01,0.06,0.125,0.0,0.005,19.624124741501
88,0.013900000000000001,0.031000000000000045,0.03,0.33,0.22000000000000003,0.55,0.8300000000000001,0.91,0.98,-1.8000000000000043,1.2499999999999998,0.14,0.41000000000000003,0.07,0.24,0.095,20.57376287708187
89,0.0031000000000000003,0.0035000000000000205,0.57,0.7000000000000002,0.9900000000000002,1.3,0.85,1.0,0.73,-0.750000000000008,1.0499999999999998,0.28,0.89,0.025,0.01,0.07500000000000001,21.65602805100373
