cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,media,mediana,desvio_padrao,p5,p95
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,deficit_externo,0.00382501782874788,0.0043898284417304735,0.004171982031417434,-0.004262387911768286,0.010297756624206351
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,deficit_governo,0.1226506775338979,0.12177326012154813,0.006454078067666433,0.11447271939350959,0.13347321991371844
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,inflacao,0.16358287629884993,0.1655066825682896,0.01629429639565922,0.13594951073323325,0.18789593083372996
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,pib_real,10703962.502325322,10704067.066398833,74028.27063613191,10572535.20849225,10815896.597479245
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,taxa_desemprego,0.0577070370176232,0.05732629455062018,0.004671213906277575,0.05068886454509212,0.0664586070109001
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,deficit_externo,0.009194350445556488,0.009608339761359976,0.0036958705407618,0.002483352545330641,0.015065990645584374
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,deficit_governo,0.14284908124009918,0.14278848664766156,0.007086246977305918,0.13243520843040132,0.15424086971440587
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,inflacao,0.20784523973329158,0.21076544261294294,0.012689851568614942,0.18545155490036752,0.2275493776534811
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,pib_real,10845060.040315736,10849396.235122379,83415.45399614207,10704293.915773036,10961191.49710794
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,taxa_desemprego,0.0661537299442566,0.06613435176008567,0.004855690776642342,0.0588352169050579,0.07412764394283243
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,deficit_externo,0.007406323001849223,0.007934330062447394,0.003928566377716479,0.0009904290521222912,0.012550901503825814
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,deficit_governo,0.1618032626326089,0.16206801577509566,0.007813449561784544,0.14893022497665734,0.17377069836617948
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,inflacao,0.2319061754932127,0.23301703419891318,0.009682189618340343,0.21644774810176662,0.24630830524774805
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,pib_real,10851593.510248965,10862657.86530003,133290.90947375578,10610850.371109933,11035034.054149264
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,taxa_desemprego,0.07396724447462928,0.0743282740050415,0.006482618677392799,0.06394122334474456,0.08372621248095256
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,deficit_externo,-0.0020309617019178285,-0.0018853368524162863,0.006127514984695862,-0.012141524772452707,0.0072786527837780945
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,deficit_governo,0.1784558199374071,0.17934733646588213,0.009310419981484736,0.1630438351075661,0.19256229556396504
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,inflacao,0.23582526908591953,0.23657453530539474,0.011113906500440161,0.21737144790764407,0.2527765196289161
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,pib_real,10695263.703651516,10702913.142267268,184086.41709837245,10419587.59850869,11019052.850153912
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,taxa_desemprego,0.08321188168722025,0.08384605094163364,0.008509149599451721,0.06936553612990744,0.09646331337241208
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,22,deficit_externo,-0.01684227167162711,-0.01730319804198234,0.007878349444682275,-0.02826242005963311,-0.003991539448123783
