cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,simulacao,seed,periodo,pib_real,taxa_desemprego,inflacao,deficit_governo,deficit_externo
benchmark,benchmark,1.0,0.0,False,2,43,11,8663524.849218285,0.13704566753987812,0.10318498427029366,0.17077514389133464,-0.010925862859924841
benchmark,benchmark,1.0,0.0,False,2,43,12,8584222.109256444,0.14480232234863202,0.08172031877825003,0.18068928742355125,-0.02472284744367211
benchmark,benchmark,1.0,0.0,False,2,43,13,8624689.639749795,0.14232761203737382,0.05843748800890647,0.18099870910342503,-0.033911349666536396
benchmark,benchmark,1.0,0.0,False,2,43,14,9002921.609473098,0.12251167596739677,0.03906239995377714,0.16524799631936588,-0.036285961759262964
benchmark,benchmark,1.0,0.0,False,2,43,15,9661391.379712539,0.09401396378816751,0.030427554238138255,0.1417212734729349,-0.030503265722691346
benchmark,benchmark,1.0,0.0,False,2,43,16,10232419.777461078,0.06721179767754108,0.04110581765766441,0.12209232217673986,-0.021228278288380333
benchmark,benchmark,1.0,0.0,False,2,43,17,10634016.751062805,0.05313546320097322,0.07731676445863611,0.10961701308815612,-0.007953488417087092
benchmark,benchmark,1.0,0.0,False,2,43,18,10977265.673267435,0.054118107835685415,0.13473787971919027,0.11157866110143799,0.0021084389972481923
benchmark,benchmark,1.0,0.0,False,2,43,19,11178818.204841794,0.06289239934469679,0.1898901637403032,0.1310238024794866,0.012666024365767598
benchmark,benchmark,1.0,0.0,False,2,43,20,11302877.295182986,0.06727577348252696,0.22599896797306873,0.15000985467312516,0.01407930450077054
benchmark,benchmark,1.0,0.0,False,2,43,21,11233390.730727907,0.07157198529079731,0.24195633110023662,0.16222795113356617,0.010307787245751472
benchmark,benchmark,1.0,0.0,False,2,43,22,11051718.639796114,0.08698371992798991,0.2390379880203568,0.18136646980815987,-0.002031675878273446
benchmark,benchmark,1.0,0.0,False,2,43,23,10702447.534507914,0.10648218264525641,0.2140485851434335,0.20937654719163468,-0.020518763266530626
benchmark,benchmark,1.0,0.0,False,2,43,24,10551505.360278824,0.10897084058505559,0.17766694282664375,0.21907194612861758,-0.04096165828063085
benchmark,benchmark,1.0,0.0,False,2,43,25,10667679.3691576,0.09889116089293275,0.14081097400578346,0.2091967190992523,-0.05335957490853562
benchmark,benchmark,1.0,0.0,False,3,44,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
benchmark,benchmark,1.0,0.0,False,3,44,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
benchmark,benchmark,1.0,0.0,False,3,44,2,7809568.471876611,0.13522708141572493,0.024184146560761954,0.12045454734906626,0.004914800534182451
benchmark,benchmark,1.0,0.0,False,3,44,3,8040221.635573903,0.126620717904688,0.02683058200310473,0.1129004970675796,0.005202146882133367
benchmark,benchmark,1.0,0.0,False,3,44,4,8301408.8178097345,0.11185275020171319,0.02943467336483363,0.1069562413332863,0.006637518469462689
benchmark,benchmark,1.0,0.0,False,3,44,5,8629699.31370545,0.09475113731217064,0.04262321588711049,0.09686555700076731,0.01043156961755434
benchmark,benchmark,1.0,0.0,False,3,44,6,8858750.971718017,0.08666660431850637,0.06091089969462349,0.0945357763324668,0.010744975529737622
benchmark,benchmark,1.0,0.0,False,3,44,7,9003185.516465355,0.09000448549242047,0.087178892707094,0.09969619724227159,0.016209475215284104
benchmark,benchmark,1.0,0.0,False,3,44,8,9021694.187386647,0.0978374266175941,0.10619466901283592,0.11589837515581025,0.015730578222508125
benchmark,benchmark,1.0,0.0,False,3,44,9,8930318.327029606,0.11252940276734237,0.11764991795236601,0.13431789551056475,0.011962193355511618
benchmark,benchmark,1.0,0.0,False,3,44,10,8740631.262069024,0.1288051244059092,0.1122429602262629,0.15775641898874368,-0.0005865124508472433
benchmark,benchmark,1.0,0.0,False,3,44,11,8624632.04904713,0.1418776120554796,0.09770508736077721,0.17241600237295507,-0.011579620455765884
benchmark,benchmark,1.0,0.0,False,3,44,12,8567492.640851084,0.14595374640372366,0.07317754426045142,0.18155243100443083,-0.027151237277538338
benchmark,benchmark,1.0,0.0,False,3,44,13,8705749.35098375,0.1399349376370596,0.0512793938447742,0.1767078722051499,-0.03515452743962322
benchmark,benchmark,1.0,0.0,False,3,44,14,9079785.126712605,0.12153909878483793,0.03252553062500274,0.1618478876532806,-0.03541099966496702
benchmark,benchmark,1.0,0.0,False,3,44,15,9788964.47645146,0.08800733554753154,0.028963012875149685,0.1367700324168618,-0.026607942268863465
benchmark,benchmark,1.0,0.0,False,3,44,16,10224346.913519459,0.0649862853239773,0.04440047567911787,0.11873867130929391,-0.018192851310748496
benchmark,benchmark,1.0,0.0,False,3,44,17,10611851.879838178,0.05505450137395134,0.08575660515027783,0.11050353423015019,-0.006832321180445184
benchmark,benchmark,1.0,0.0,False,3,44,18,10966267.88498918,0.056144935269037334,0.1406659827832395,0.11556713068989188,0.0047774529636920296
benchmark,benchmark,1.0,0.0,False,3,44,19,11202756.751406446,0.06071243592268076,0.1923655998719287,0.13142560823662328,0.011836466777979875
benchmark,benchmark,1.0,0.0,False,3,44,20,11269527.78989547,0.06860426617905155,0.2284758872615591,0.14835665962876993,0.016999295907341675
benchmark,benchmark,1.0,0.0,False,3,44,21,11264185.038196402,0.0766041597584492,0.23961925739199996,0.16686858872766527,0.01083035138674593
benchmark,benchmark,1.0,0.0,False,3,44,22,10869291.224121202,0.09433554607604014,0.23388295763717792,0.1907587385224323,-0.004508834646254112
benchmark,benchmark,1.0,0.0,False,3,44,23,10620375.267700745,0.11148323414435551,0.2040017677601842,0.21310495517636052,-0.02293102329874194
benchmark,benchmark,1.0,0.0,False,3,44,24,10444255.728297092,0.1097140627990624,0.16650910564948562,0.2191698335920979,-0.043094469810724706
benchmark,benchmark,1.0,0.0,False,3,44,25,10641166.560361365,0.09316101331040734,0.12923173207342908,0.20603349313165734,-0.05593290709754928
benchmark,benchmark,1.0,0.0,False,4,45,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
benchmark,benchmark,1.0,0.0,False,4,45,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
benchmark,benchmark,1.0,0.0,False,4,45,2,7814812.885350098,0.1352272363957795,0.024167914260627477,0.12047025073739162,0.0002517658046662367
benchmark,benchmark,1.0,0.0,False,4,45,3,8061832.066014055,0.12454088935781311,0.02691702625247161,0.11091685391220972,0.005843555817130261
benchmark,benchmark,1.0,0.0,False,4,45,4,8416869.697292035,0.10590819741008001,0.030404630255944864,0.10248911947636828,0.00711891178292889
benchmark,benchmark,1.0,0.0,False,4,45,5,8692225.604065083,0.09077859697034,0.046620196927654955,0.0930716568922025,0.012506425866069518
benchmark,benchmark,1.0,0.0,False,4,45,6,8842187.269320782,0.08756369115330496,0.068722770681648,0.09481971087373603,0.01407895706453716
benchmark,benchmark,1.0,0.0,False,4,45,7,8903572.657901961,0.09615302619688741,0.09326614108980835,0.10621039529453706,0.015732113925966372
benchmark,benchmark,1.0,0.0,False,4,45,8,8849712.623967884,0.11083461897664092,0.1065602029691819,0.12703227815181947,0.012208462444412984
benchmark,benchmark,1.0,0.0,False,4,45,9,8748108.098909773,0.12323026223510834,0.10981024659998329,0.14502008390372995,0.003023109138600957
benchmark,benchmark,1.0,0.0,False,4,45,10,8627864.27708416,0.13245663629980084,0.09911825615714398,0.1599339413481673,-0.006349923787985666
benchmark,benchmark,1.0,0.0,False,4,45,11,8589039.008025697,0.13752750750921025,0.0831733760372022,0.16817563248597175,-0.015113441495899941
benchmark,benchmark,1.0,0.0,False,4,45,12,8597398.150539638,0.13839985342092959,0.06378581907891911,0.17249208071594707,-0.027689227884648646
benchmark,benchmark,1.0,0.0,False,4,45,13,8877004.694276234,0.12699429819531702,0.04631525690270011,0.1638558527770694,-0.034595509227656
benchmark,benchmark,1.0,0.0,False,4,45,14,9387373.553298142,0.10210925829584779,0.03571499100378528,0.1445856390784663,-0.028921649713355185
benchmark,benchmark,1.0,0.0,False,4,45,15,9983669.450913243,0.07441031576632975,0.04124875009721807,0.12383266254117044,-0.0211117875191644
benchmark,benchmark,1.0,0.0,False,4,45,16,10466544.183047233,0.054322574633318736,0.06960729800051335,0.10911301392007586,-0.01012943414097905
benchmark,benchmark,1.0,0.0,False,4,45,17,10750630.262893025,0.05079028063531703,0.12422316453686144,0.10448985922148449,0.0015246218440068445
benchmark,benchmark,1.0,0.0,False,4,45,18,11021323.128353091,0.06211271455126799,0.18321452028274043,0.12115260615184738,0.013410161652088748
benchmark,benchmark,1.0,0.0,False,4,45,19,11090579.51587619,0.07382875295992135,0.22013813854001385,0.15036628290062182,0.015021199318821466
benchmark,benchmark,1.0,0.0,False,4,45,20,10914154.881157722,0.08441220992463955,0.23047343518919283,0.1706030566105868,0.008275561908204797
benchmark,benchmark,1.0,0.0,False,4,45,21,10715495.255895555,0.09912299624747077,0.21838835416059243,0.18827543282174025,-0.006048156016641042
benchmark,benchmark,1.0,0.0,False,4,45,22,10425013.255078668,0.11127101326851074,0.18879905715073853,0.20682016731795994,-0.024186782458781562
benchmark,benchmark,1.0,0.0,False,4,45,23,10361845.797269465,0.10660754938101213,0.1528532211495235,0.20988997143094207,-0.04006774189395515
benchmark,benchmark,1.0,0.0,False,4,45,24,10575981.337196494,0.09223801097206172,0.12204094669654908,0.19751181103739615,-0.05306198767102815
benchmark,benchmark,1.0,0.0,False,4,45,25,11180820.353137797,0.06732803635244183,0.10451366691679587,0.17600698576488422,-0.04853114849413761
benchmark,benchmark,1.0,0.0,False,5,46,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
benchmark,benchmark,1.0,0.0,False,5,46,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
benchmark,benchmark,1.0,0.0,False,5,46,2,7797215.319153447,0.13522708141572493,0.024179487090514318,0.12051989825221197,0.0041342857537788645
benchmark,benchmark,1.0,0.0,False,5,46,3,8035873.995249559,0.12508298596838335,0.02687093670821583,0.11205807000098585,0.004644653766855659
benchmark,benchmark,1.0,0.0,False,5,46,4,8390869.856344638,0.10862684435133034,0.030136559988063416,0.10364952165876039,0.005818291909813966
benchmark,benchmark,1.0,0.0,False,5,46,5,8695024.509822981,0.09085870732624224,0.044887557780852294,0.09362484050803942,0.015016422646080314
benchmark,benchmark,1.0,0.0,False,5,46,6,8862505.33593497,0.08401510743620288,0.06645507580845189,0.09346518437373916,0.013841218353738487
