cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,media,mediana,desvio_padrao,p5,p95
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,12,inflacao,p.p. em relação ao benchmark,0.24833034513969654,0.2506614545913277,0.025723673089860538,0.20820113476386792,0.29092230001215635
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,12,pib_real,% em relação ao benchmark,-1.4790073335215796,-1.4798005491402533,0.04336088477693571,-1.5505359947850728,-1.4087389552203684
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,12,taxa_desemprego,p.p. em relação ao benchmark,0.19913473214288388,0.19488273888387114,0.02466978967629537,0.1683404469931403,0.24750835227084628
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,13,deficit_externo,p.p. do PIB em relação ao benchmark,-0.2635635304533062,-0.2628726325119086,0.014830537211929456,-0.2895140521758008,-0.23935576273857578
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,13,deficit_governo,p.p. do PIB em relação ao benchmark,0.38864524850412174,0.384512185402526,0.030623662684498565,0.346050024104306,0.4503530817641109
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,13,inflacao,p.p. em relação ao benchmark,0.2140577459108424,0.213976273918981,0.034146990415914805,0.1576170050988257,0.2596791052274805
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,13,pib_real,% em relação ao benchmark,-1.6223383591727363,-1.619952843700856,0.04546945810147309,-1.7066329613170228,-1.5504077583225617
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,13,taxa_desemprego,p.p. em relação ao benchmark,0.18870435505911015,0.18396243609449942,0.03215876595434907,0.1483655352626339,0.2487300162127509
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,14,deficit_externo,p.p. do PIB em relação ao benchmark,-0.2961866920597217,-0.2953861236727228,0.01680628002393677,-0.32689130730734794,-0.2727577581341832
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,14,deficit_governo,p.p. do PIB em relação ao benchmark,0.3736450586843811,0.3726660808331783,0.03127238906838679,0.3205106763848752,0.430462389712275
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,14,inflacao,p.p. em relação ao benchmark,0.15501927854760278,0.1565744756396259,0.04427359369604758,0.09040927360796536,0.22976383296479885
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,14,pib_real,% em relação ao benchmark,-1.7049505994264589,-1.7054761526130002,0.04386818588076393,-1.7767930158307654,-1.6406480161622894
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,14,taxa_desemprego,p.p. em relação ao benchmark,0.15735024452803648,0.15849520117212426,0.035642132871203006,0.09950651713370715,0.22239469306454365
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,15,deficit_externo,p.p. do PIB em relação ao benchmark,-0.33623536058705783,-0.3327102156597008,0.021239362298783166,-0.37625698828522725,-0.30982419062786354
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,15,deficit_governo,p.p. do PIB em relação ao benchmark,0.3671146635478681,0.37013188053748175,0.02962465910531236,0.317525333178048,0.40829308910137535
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,15,inflacao,p.p. em relação ao benchmark,0.0802367889321378,0.09316779589350066,0.06212952762282854,-0.026610658847433518,0.16322331342969232
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,15,pib_real,% em relação ao benchmark,-1.808311909172336,-1.8065330244224076,0.05248723003713205,-1.8951291778298334,-1.7292440190480085
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,15,taxa_desemprego,p.p. em relação ao benchmark,0.11754472335946206,0.12347303247470173,0.03550023211877771,0.06023350892680725,0.1697312023680198
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,16,deficit_externo,p.p. do PIB em relação ao benchmark,-0.41724323131536617,-0.41527543252115157,0.030100029674642394,-0.46608920068663906,-0.3684667267538079
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,16,deficit_governo,p.p. do PIB em relação ao benchmark,0.39696763323213907,0.4030143997634884,0.0369240346716711,0.3282981077359212,0.44902459174565595
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,16,inflacao,p.p. em relação ao benchmark,-0.042741483912931866,-0.03520796429903328,0.08468347776939075,-0.17682943338024115,0.08905021588834106
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,16,pib_real,% em relação ao benchmark,-2.011195991181967,-2.0074875476525866,0.06728950672488708,-2.120403572188165,-1.9025098807387304
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,16,taxa_desemprego,p.p. em relação ao benchmark,0.0906380759397218,0.09982534958365118,0.03781041595842297,0.01816536671696043,0.14085678335958382
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,17,deficit_externo,p.p. do PIB em relação ao benchmark,-0.5145129384610684,-0.5157856758928787,0.03599089057685771,-0.5666574376873358,-0.4580000056744917
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,17,deficit_governo,p.p. do PIB em relação ao benchmark,0.40938932712404097,0.4221301439368629,0.050984856598879344,0.3256882008838551,0.4694153760615706
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,17,inflacao,p.p. em relação ao benchmark,-0.19232641579243115,-0.19066893929426953,0.11110723664479584,-0.38117048937058806,-0.030178238094910066
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,17,pib_real,% em relação ao benchmark,-2.216072303949281,-2.2242925340108464,0.07527792022985558,-2.3202206828416156,-2.077589909261938
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,17,taxa_desemprego,p.p. em relação ao benchmark,0.04674057830277779,0.05177007668067217,0.042639365801861846,-0.029089136636644315,0.09862563595793697
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,deficit_externo,p.p. do PIB em relação ao benchmark,-0.5752871813229169,-0.5827027804773715,0.04479497279342019,-0.6326400126355006,-0.4818372138243923
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,deficit_governo,p.p. do PIB em relação ao benchmark,0.3270654971197369,0.33900824272821567,0.07754374711406946,0.1777881163420568,0.42901776329500013
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,inflacao,p.p. em relação ao benchmark,-0.28130627715135703,-0.2916662943542758,0.13268263434800856,-0.47169769292234154,-0.039731481181584115
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,pib_real,% em relação ao benchmark,-2.3017727086214244,-2.3234892096313575,0.1015849945212833,-2.4351464513801844,-2.1371319829505544
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,18,taxa_desemprego,p.p. em relação ao benchmark,-0.05883480494905716,-0.04717514302905075,0.06114331657742291,-0.16960781474079914,0.017114584100344356
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,deficit_externo,p.p. do PIB em relação ao benchmark,-0.5249954105472051,-0.5375592885083058,0.06492127214635124,-0.6091473465976396,-0.3927446447953139
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,deficit_governo,p.p. do PIB em relação ao benchmark,0.13060034345195343,0.1232232513297793,0.08753549189431246,-0.008222612274969565,0.26106200211842756
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,inflacao,p.p. em relação ao benchmark,-0.1165026578387527,-0.1402914738088068,0.16814666226753708,-0.3327396227947188,0.19091958939243514
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,pib_real,% em relação ao benchmark,-2.2162787483173614,-2.223912931939387,0.13177465165174795,-2.40390277370069,-2.0030688709579825
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,19,taxa_desemprego,p.p. em relação ao benchmark,-0.27122825549636587,-0.2719952077035584,0.07244637223635275,-0.38183890669262777,-0.15195783317492595
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,deficit_externo,p.p. do PIB em relação ao benchmark,-0.36439337955884665,-0.3736123904931814,0.07827791808055085,-0.49248054381692724,-0.24332121285994487
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,deficit_governo,p.p. do PIB em relação ao benchmark,-0.07104362258404245,-0.06633654343256995,0.08238644937594797,-0.2084179141802299,0.06972021290883063
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,inflacao,p.p. em relação ao benchmark,0.35224941840275537,0.337824526395325,0.20092864495825566,0.029179391294676952,0.6838003592108797
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,pib_real,% em relação ao benchmark,-1.9748323857289305,-1.977416819068567,0.17769339947280754,-2.2461072816304446,-1.674532685612048
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,20,taxa_desemprego,p.p. em relação ao benchmark,-0.45342954463199253,-0.451197920676754,0.07725107496561687,-0.5742737941919213,-0.3274301339994337
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,deficit_externo,p.p. do PIB em relação ao benchmark,-0.177003016550462,-0.18565167369139035,0.07953156263875832,-0.3022291003985289,-0.03811865296609087
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,deficit_governo,p.p. do PIB em relação ao benchmark,-0.12983635745107175,-0.13081574829243298,0.0886882170580254,-0.2567250720379938,0.0065643677652163284
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,21,inflacao,p.p. em relação ao benchmark,0.9557955033366103,0.9141785950729675,0.2024880765393446,0.5957479923893283,1.275768026898746
