cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,simulacao,seed,periodo,variavel,irf,unidade
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,0,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,1,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,2,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,3,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,4,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,5,pib_real,-0.14039019547378295,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,6,pib_real,-0.08563299635676591,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,7,pib_real,-0.15180126780455216,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,8,pib_real,-0.18407428040632112,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,9,pib_real,-0.19791211038060474,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,10,pib_real,-0.21109788318397493,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,11,pib_real,-0.19724773088478642,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,12,pib_real,-0.1694907022566028,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,13,pib_real,-0.11521372463016988,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,14,pib_real,-0.10016709421033498,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,15,pib_real,-0.10864234259704286,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,16,pib_real,-0.1240916684086657,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,17,pib_real,-0.12310135703812453,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,18,pib_real,-0.11588701216425079,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,19,pib_real,-0.10038995976963117,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,20,pib_real,-0.08805300793817139,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,21,pib_real,-0.06701596493073891,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,22,pib_real,-0.06065451911749786,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,23,pib_real,-0.06930015956827518,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,24,pib_real,-0.09031720746344174,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,4,45,25,pib_real,-0.12413490506927305,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,0,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,1,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,2,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,3,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,4,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,5,pib_real,-0.1678854842364963,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,6,pib_real,-0.15069661988489358,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,7,pib_real,-0.17515723980264797,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,8,pib_real,-0.19378935810678843,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,9,pib_real,-0.2071259548934723,% em relação ao benchmark
