Código CNAE 2.0,Seções e divisões da classificação de atividades ,Faias de pessoal ocupado total,"Número de empresas 
e outras 
organizações",Pessoal ocupado total,"Pessoal ocupado
assalariado","Pessoal ocupado
assalariado.1","Pessoal ocupado
assalariado.2","Pessoal ocupado
assalariado.3","Pessoal ocupado
assalariado.4",Pessoal assalariado médio,Pessoal assalariado médio.1,Pessoal assalariado médio.2,Pessoal assalariado médio.3,Pessoal assalariado médio.4,Salários e outras remunerações,Salários e outras remunerações.1,Salários e outras remunerações.2,Salários e outras remunerações.3,Salários e outras remunerações.4,"Salário médio  mensal 
(salários mínimos) (1) (2)","Salário médio  mensal 
(salários mínimos) (1) (2).1","Salário médio  mensal 
(salários mínimos) (1) (2).2","Salário médio  mensal 
(salários mínimos) (1) (2).3","Salário médio  mensal 
(salários mínimos) (1) (2).4","Salário médio mensal 
(R$) (2)","Salário médio mensal 
(R$) (2).1","Salário médio mensal 
(R$) (2).2","Salário médio mensal 
(R$) (2).3","Salário médio mensal 
(R$) (2).4",setor,limite_inferior,numero_empresas,pessoal_ocupado
C,Indústrias de transformação,30 a 49,13195,500663,482785,321496,161289,29279,453506,479471.82,320720.11,158751.71,29484.15,449987.67,13621080.388,9840557.272,3780523.116,1759060.514,11862019.874,1.986609,2.145643,1.665319,4.172114,1.84341,2185.27006334082,2360.20729725991,1831.85094800893,4589.32501804424,2027.75126534194,C,30,13195,500663.0
C,Indústrias de transformação,50 a 99,9626,665216,651873,442022,209851,51662,600211,643550.73,438125.53,205425.2,51385.17,592165.56,20873408.067,15383292.392,5490115.675,3951199.213,16922208.854,2.268164,2.455357,1.868924,5.377186,1.998379,2494.98089200305,2700.89301575281,2055.81686367892,5914.90503972255,2198.21695369217,C,50,9626,665216.0
C,Indústrias de transformação,100 a 249,5301,813863,805966,565567,240399,89143,716823,798960.1,561989.73,236970.37,88441.33,710518.77,31836100.153,24161940.789,7674159.364,8631714.178,23204385.975,2.786498,3.006543,2.264648,6.825049,2.283802,3065.14778522732,3307.1971438394,2491.11292300773,7507.55346727947,2512.18242595856,C,100,5301,813863.0
C,Indústrias de transformação,250 a 499,1981,687715,684705,485784,198921,88897,595808,683214.21,485670.14,197544.07,88829.05,594385.16,30928033.909,23760408.977,7167624.932,10094094.87,20833939.039,3.165624,3.421184,2.53732,7.946508,2.451136,3482.1868407297,3763.30273765964,2791.05196121554,8741.15884560114,2696.24950816015,C,250,1981,687715.0
C,Indústrias de transformação,500 ou mais,1805,3399733,3396922,2434571,962351,529900,2867022,3418545.54,2472315.8,946229.74,536496.99,2882048.55,191323537.145,149417979.537,41905557.608,80029945.025,111293592.12,3.913731,4.226325,3.096984,10.431558,2.700429,4305.1043178439,4648.95735957979,3406.68264282691,11474.7141774415,2970.47235643977,C,500,1805,3399733.0
D,Eletricidade e gás,0 a 4,5841,9060,611,495,116,166,445,1299.06,1011.81,287.25,637.84,661.22,137116.689,110217.345,26899.344,99560.914,37555.775,7.381168,7.617543,6.548557,10.915436,3.971867,8119.28441749004,8379.29780066644,7203.41273348062,12006.9795656495,4369.05382358484,D,0,5841,9060.0
D,Eletricidade e gás,5 a 9,680,4288,1485,1189,296,505,980,1517.02,1221.21,295.81,493.97,1023.05,109629.872,89118.726,20511.146,57639.952,51989.92,5.053608,5.1032,4.848876,8.159941,3.553745,5558.96895025977,5613.51988223534,5333.76309637423,8975.93469550471,3909.11941291688,D,5,680,4288.0
D,Eletricidade e gás,10 a 19,347,4440,2863,2277,586,972,1891,2776.12,2200.81,575.31,973.96,1802.16,238225.841,190854.687,47371.154,136721.678,101504.163,6.000875,6.06435,5.758058,9.81658,3.938714,6600.96274379627,6670.7847425406,6333.86334858932,10798.2382786215,4332.58564082076,D,10,347,4440.0
D,Eletricidade e gás,20 a 29,87,4448,3509,2815.5,693.5,1191,2318,3427.815,2755.91,671.905,1206.5149999999999,2221.3,302178.8365,246618.48950000003,55560.347,172983.027,129195.8095,5.752855,5.75459,5.74362,9.03899,4.212302,6752.364940871255,6847.94236473035,6357.439656878115,10991.52299415075,4451.5683514116245,D,20,87,4448.0
D,Eletricidade e gás,30 a 49,114,4456,4155,3354,801,1410,2745,4079.51,3311.01,768.5,1439.07,2640.44,366131.832,302382.292,63749.54,209244.376,156887.456,6.276152,6.386455,5.800924,10.168007,4.155046,6903.76713794624,7025.0999869201,6381.01596516691,11184.80770968,4570.55106200249,D,30,114,4456.0
D,Eletricidade e gás,50 a 99,91,6339,6091,4770,1321,2426,3665,5939.05,4650.65,1288.4,2392.14,3546.91,628034.613,506732.931,121301.682,389145.281,238889.332,7.39487,7.619552,6.583852,11.375988,4.709888,8134.35732080953,8381.50715077876,7242.23736059036,12513.5871581995,5180.87644218163,D,50,91,6339.0
D,Eletricidade e gás,100 a 249,72,7295.5,7156,5717.5,1438.5,2930,4226,6925.095,5523.67,1401.4250000000002,2888.715,4036.38,738382.797,602112.767,136270.03,456392.603,281990.194,6.858776,7.010903,6.318716,10.640703,4.113022,8193.448612552085,8384.584850146024,7462.025076879875,12206.0614750214,5353.12415938885,D,100,72,7295.5
D,Eletricidade e gás,250 a 499,24,8252,8221,6665,1556,3434,4787,7911.14,6396.69,1514.45,3385.29,4525.85,848730.981,697492.603,151238.378,523639.925,325091.056,7.502309,7.625148,6.983466,10.816851,5.023065,8252.53990429464,8387.66254951329,7681.81279316939,11898.5357918433,5525.37187659607,D,250,24,8252.0
D,Eletricidade e gás,500 ou mais,54,97699,97648,78699,18949,34751,62897,97915.63,79223.6,18692.03,35244.52,62671.11,9485940.746,7848530.157,1637410.589,5316387.921,4169552.825,6.774736,6.927838,6.125832,10.548459,4.652497,7452.20910790553,7620.62174655027,6738.41528674562,11603.3050528139,5117.74616234351,D,500,54,97699.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",0 a 4,9187,15873,5452,4410,1042,249,5203,6272.2,5125.86,1146.34,280.09,5992.11,137398.572,113732.996,23665.576,11179.575,126218.997,1.531885,1.551614,1.443669,2.791204,1.473021,1685.07396496874,1706.77544841256,1588.03576868723,3070.32492303298,1620.32299396784,E,0,9187,15873.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",5 a 9,2070,13570,10331,8321,2010,514,9817,10108.16,8191.79,1916.37,534.16,9574,240961.26,199272.604,41688.656,23351.911,217609.349,1.667013,1.701111,1.521257,3.057138,1.589454,1833.71469569749,1871.22251011731,1673.38232820786,3362.85166645546,1748.39990519195,E,5,2070,13570.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",10 a 19,1478,19771,16972,13836,3136,1029,15943,16605.47,13546.9,3058.57,989.97,15615.5,429104.567,355794.281,73310.286,47979.915,381124.652,1.807074,1.836636,1.676141,3.389233,1.70677,1987.78135249316,2020.29917148232,1843.7546857619,3728.15609797033,1877.44746713694,E,10,1478,19771.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",20 a 29,481,11539,10912,8999,1913,776,10136,10222.74,8428.08,1794.66,773.23,9449.51,297787.179,248028.5,49758.679,43127.691,254659.488,2.037054,2.05796,1.938879,3.900421,1.88458,2240.75992120734,2263.7558476682,2132.76648073044,4290.46298295163,2073.03779609899,E,20,481,11539.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",30 a 49,428,16362,15894,12877,3017,1552,14342,15529.33,12690.64,2838.69,1536.97,13992.36,475005.535,387304.432,87701.103,90118.885,384886.65,2.138996,2.134189,2.160484,4.100288,1.92356,2352.89528316368,2347.60804934854,2376.53237666237,4510.31700233376,2115.91649904772,E,30,428,16362.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",50 a 99,402,27774,27417,22349,5068,3044,24373,27507.11,22520.9,4986.21,3037.88,24469.23,913402.236,756080.144,157322.092,199684.833,713717.403,2.322101,2.347719,2.206394,4.596618,2.039717,2554.31088404192,2582.49053443349,2427.03363569031,5056.27996143059,2243.68885707918,E,50,402,27774.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",100 a 249,234,36565,36355,29708,6647,4848,31507,35730.01,29176.8,6553.21,4847.66,30882.35,1423711.97,1161686.885,262025.085,405707.715,1018004.255,2.786461,2.784296,2.7961,5.852549,2.305171,3065.10704543926,3062.7255084651,3075.71034183717,6437.80417133849,2535.6884957066,E,100,234,36565.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",250 a 499,112,39735,39624,32280,7344,5365,34259,41812.59,32914.84,8897.75,5643.26,36169.33,1602753.532,1269989.221,332764.311,455293.107,1147460.425,2.680548,2.698188,2.615294,5.641895,2.218509,2948.60311764397,2968.00709158731,2876.82331963785,6206.08419465126,2440.36001049678,E,250,112,39735.0
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",500 ou mais,147,262099,262016,211552,50464,41501,220515,263314.7,213833.28,49481.42,41845.95,221468.75,13975248.799,11247497.922,2727750.877,5038595.753,8936653.046,3.711491,3.678278,3.855019,8.420154,2.821801,4082.64004396494,4046.10614328206,4240.52079625972,9262.16966498091,3103.98126007533,E,500,147,262099.0
F,Construção,0 a 4,239501,401723,83894,70024,13870,5137,78757,116355.32,101076.27,15279.05,6149.24,110206.08,2493136.585,2160078.753,333057.832,231026.5,2262110.085,1.498386,1.49446,1.524359,2.627268,1.435397,1648.22491406231,1643.90617181385,1676.79490745624,2889.9944108165,1578.93709745345,F,0,239501,401723.0
F,Construção,5 a 9,35751,231253,152472,135275,17197,7375,145097,152992.85,136372.31,16620.54,7274.14,145718.71,3430123.155,3027580.678,402542.477,302565.763,3127557.392,1.567843,1.552507,1.693677,2.908721,1.500908,1724.62717903283,1707.75739873157,1863.04451739095,3199.5932799669,1650.99826814384,F,5,35751,231253.0
F,Construção,10 a 19,20009,266669,216739,196290,20449,10129,206610,212060.4,192433.36,19627.04,10060.63,201999.77,5116615.238,4584686.337,531928.901,481928.898,4634686.34,1.68728,1.66607,1.895234,3.349822,1.604477,1856.00794650232,1832.67693174006,2084.75693580034,3684.80440015264,1764.92445435039,F,10,20009,266669.0
F,Construção,20 a 29,6735,160638,145846,133692,12154,6724,139122,139507.62,127910.53,11597.09,6610.92,132896.7,3539634.032,3200121.451,339512.581,340569.412,3199064.62,1.774289,1.749541,2.04725,3.602531,1.683344,1951.71805613971,1924.49510246312,2251.97462334218,3962.78386017726,1851.67798633189,F,20,6735,160638.0
F,Construção,30 a 49,4960,187428,179218,165865,13353,7998,171220,173575.95,160740.43,12835.52,7961.8,165614.15,4583899.164,4193667.065,390232.099,448225.903,4135673.261,1.846756,1.824453,2.12605,3.936857,1.746275,2031.43135901028,2006.89878850498,2338.65505793538,4330.5427937633,1920.90296864498,F,30,4960,187428.0
F,Construção,50 a 99,3605,248252,243284,224341,18943,12222,231062,230186.69,212402.1,17784.59,11976.63,218210.06,6595937.743,5996059.431,599878.312,795327.151,5800610.592,2.003827,1.974109,2.358757,4.643817,1.858929,2204.21009739797,2171.5196829323,2594.6330805749,5108.19918586319,2044.82238247508,F,50,3605,248252.0
F,Construção,100 a 249,1945,290811,287971,263621,24350,16610,271361,277016.05,254672.26,22343.79,16072.08,260943.97,8675985.753,7871657.134,804328.619,1186162.273,7489823.48,2.19017,2.161466,2.517333,5.161025,2.007189,2409.18719136143,2377.61304364586,2769.06613563631,5677.12777495077,2207.90795699287,F,100,1945,290811.0
F,Construção,250 a 499,593,203037,202068,181377,20691,15530,186538,199247.93,179635.54,19612.39,14814.2,184433.73,7110998.652,6261398.495,849600.157,1381577.619,5729421.033,2.495748,2.437491,3.02934,6.521703,2.172373,2745.3228563413,2681.24023830097,3332.27404874007,7173.87381441714,2389.61005042925,F,250,593,203037.0
F,Construção,500 ou mais,400,597295,596685,528401,68284,47297,549388,587800.19,524181.42,63618.77,44116.95,543683.24,23593038.653,21069321.351,2523717.302,4548255.324,19044783.329,2.806843,2.810819,2.774083,7.20947,2.449594,3087.52728908415,3091.90094337949,3051.49093819082,7930.41663473668,2694.55305078008,F,500,400,597295.0
G,Comércio; reparação de veículos automotores e motocicletas,0 a 4,1380933,2597655,945380,497759,447621,59898,885482,1007952.89,540385.12,467567.77,63251.3,944701.59,20148971.749,11120477.556,9028494.193,2150053.85,17998917.899,1.397902,1.439077,1.350314,2.37708,1.332342,1537.69180995079,1582.98465076451,1485.34522237855,2614.78827616678,1465.57617848079,G,0,1380933,2597655.0
G,Comércio; reparação de veículos automotores e motocicletas,5 a 9,315299,2035624,1531149,843570,687579,85585,1445564,1467431.56,819424.86,648006.7,83371.05,1384060.51,31701614.792,18276582.492,13425032.3,2892740.65,28808874.142,1.510732,1.559731,1.448771,2.426376,1.455577,1661.8054427225,1715.7045502904,1593.64832540727,2669.01414266057,1601.13465103654,G,5,315299,2035624.0
G,Comércio; reparação de veículos automotores e motocicletas,10 a 19,137264,1802893,1554940,894794,660146,85827,1469113,1510247.04,878787.33,631459.71,85055.53,1425191.51,36084161.566,21944219.035,14139942.531,3730959.798,32353201.768,1.670831,1.746225,1.565907,3.067482,1.587479,1837.91436919231,1920.84795856826,1722.4976823937,3374.22984182759,1746.22695325184,G,10,137264,1802893.0
G,Comércio; reparação de veículos automotores e motocicletas,20 a 29,27168,639397,600242,350865,249377,36890,563352,583705.15,344383.19,239321.96,36441.41,547263.74,15217104.168,9464750.652,5752353.516,1939440.298,13277663.87,1.823066,1.921902,1.680842,3.721733,1.696637,2005.37287440678,2114.09198707271,1848.92657573087,4093.90622456072,1866.3008063183,G,20,27168,639397.0
