Código CNAE 2.0,Seções e divisões da classificação de atividades ,Faias de pessoal ocupado total,"Número de empresas 
e outras 
organizações",Pessoal ocupado total,"Pessoal ocupado
assalariado","Pessoal ocupado
assalariado.1","Pessoal ocupado
assalariado.2","Pessoal ocupado
assalariado.3","Pessoal ocupado
assalariado.4",Pessoal assalariado médio,Pessoal assalariado médio.1,Pessoal assalariado médio.2,Pessoal assalariado médio.3,Pessoal assalariado médio.4,Salários e outras remunerações,Salários e outras remunerações.1,Salários e outras remunerações.2,Salários e outras remunerações.3,Salários e outras remunerações.4,"Salário médio  mensal 
(salários mínimos) (1) (2)","Salário médio  mensal 
(salários mínimos) (1) (2).1","Salário médio  mensal 
(salários mínimos) (1) (2).2","Salário médio  mensal 
(salários mínimos) (1) (2).3","Salário médio  mensal 
(salários mínimos) (1) (2).4","Salário médio mensal 
(R$) (2)","Salário médio mensal 
(R$) (2).1","Salário médio mensal 
(R$) (2).2","Salário médio mensal 
(R$) (2).3","Salário médio mensal 
(R$) (2).4",setor,limite_inferior,numero_empresas,pessoal_ocupado
Q,Saúde humana e serviços sociais,10 a 19,17819,227004,155270,26838,128432,31378,123892,150134.19,26054.53,124079.66,30940.21,119193.98,3582333.664,678716.458,2903617.206,1053027.681,2529305.983,1.668593,1.821667,1.63645,2.380019,1.483922,1835.45219113648,2003.83420110408,1800.09495264822,2618.02131619961,1632.31396998664,Q,10,17819,227004.0
Q,Saúde humana e serviços sociais,20 a 29,4454,105446,93606,18706,74900,21579,72027,91100.97,18266.17,72834.8,21157.48,69943.49,2350518.178,509519.742,1840998.436,770392.223,1580125.955,1.804283,1.950642,1.767577,2.546314,1.579823,1984.71092695703,2145.70576687353,1944.33518466025,2800.94511401023,1737.80505354559,Q,20,4454,105446.0
Q,Saúde humana e serviços sociais,30 a 49,3318,124855,116276,25322,90954,28978,87298,114841.85,25079.16,89762.69,28880.29,85961.56,3168961.643,748621.992,2420339.651,1153753.559,2015208.084,1.92966,2.087438,1.885578,2.793672,1.63938,2122.62585660862,2296.18165348931,2074.13540251352,3073.039563288,1803.31774413515,Q,30,3318,124855.0
Q,Saúde humana e serviços sociais,50 a 99,2354,161880,155869,38488,117381,40064,115805,155338.5,38543.34,116795.16,40316.29,115022.21,4545374.984,1206974.694,3338400.29,1768721.331,2776653.653,2.046231,2.189842,1.998838,3.067911,1.688123,2250.85364889233,2408.82620008461,2198.72143937893,3374.7025581967,1856.93478275597,Q,50,2354,161880.0
Q,Saúde humana e serviços sociais,100 a 249,1519,235943,232572,61927,170645,59256,173316,229940.45,61408.18,168532.27,58849.69,171090.76,6769702.886,1927294.701,4842408.185,2693899.592,4075803.294,2.058819,2.194754,2.009288,3.201114,1.665907,2264.70103823035,2414.22948112876,2210.21729136914,3521.22577941297,1832.49715126458,Q,100,1519,235943.0
Q,Saúde humana e serviços sociais,250 a 499,775,274457,272972,76059,196913,69398,203574,269691.61,75219.68,194471.93,69071.03,200620.58,8474120.147,2563890.126,5910230.021,3516733.978,4957386.169,2.197309,2.383592,2.125257,3.560472,1.72799,2417.03995138402,2621.95102910057,2337.78251976242,3916.51895603254,1900.78902979637,Q,250,775,274457.0
Q,Saúde humana e serviços sociais,500 ou mais,850,1972505,1971519,549201,1422318,700617,1270902,1938013.08,537317.55,1400695.53,688093.29,1249919.79,96242982.049,31171494.701,65071487.348,57531855.58,38711126.469,3.472772,4.056865,3.24871,5.846891,2.165796,3820.04971373131,4462.55158554249,3573.5810670926,6431.58045082476,2382.37603962879,Q,500,850,1972505.0
R,"Artes, cultura, esporte e recreação",0 a 4,63318,93205,23942,11981,11961,6236,17706,25362.01,12926.88,12435.13,6590.9,18771.11,458489.817,238596.951,219892.866,138021.465,320468.352,1.264183,1.290729,1.236587,1.464421,1.193876,1390.6014334644,1419.80211894785,1360.24600033565,1610.86282134925,1313.26339743935,R,0,63318,93205.0
R,"Artes, cultura, esporte e recreação",5 a 9,7296,46945,33736,16503,17233,9570,24166,31708.93,15797.28,15911.65,9103.09,22605.84,564587.162,294663.43,269923.732,179939.872,384647.29,1.245126,1.304391,1.186287,1.382301,1.189888,1369.63882705306,1434.83040702625,1304.91583211043,1520.53078848881,1308.8765149591,R,5,7296,46945.0
R,"Artes, cultura, esporte e recreação",10 a 19,3840,50899,42995,22711,20284,13579,29416,40355.07,21615.02,18740.05,12794.65,27560.42,758025.825,423273.023,334752.802,257812.364,500213.461,1.31356,1.369396,1.249158,1.409092,1.26921,1444.91581469575,1506.3350997451,1374.0740039894,1550.00100101936,1396.13106543592,R,10,3840,50899.0
R,"Artes, cultura, esporte e recreação",20 a 29,989,23234,21931,12724,9207,6992,14939,20627.67,12029.27,8598.4,6703.68,13923.99,435931.482,264698.539,171232.943,148701.758,287229.724,1.477856,1.538779,1.392623,1.551196,1.442546,1625.6412344718,1692.65683428197,1531.88556547193,1706.31604868233,1586.80048993472,R,20,989,23234.0
R,"Artes, cultura, esporte e recreação",30 a 49,600,22619,21946,13136,8810,6629,15317,20190.83,12220.95,7969.88,6160.22,14030.61,497490.074,302975.748,194514.326,180652.615,316837.459,1.723035,1.733672,1.706726,2.050747,1.579152,1895.33898461674,1907.0388774384,1877.39846290515,2255.82122067069,1737.06718601467,R,30,600,22619.0
R,"Artes, cultura, esporte e recreação",50 a 99,353,24032,23715,14816,8899,7070,16645,22263.15,14094.47,8168.68,6620.22,15642.93,673365.52,440683.622,232681.898,255511.116,417854.404,2.115087,2.186463,1.991933,2.69899,1.867974,2326.59563863639,2405.10924879376,2191.12604955287,2968.88943732523,2054.77148216724,R,50,353,24032.0
R,"Artes, cultura, esporte e recreação",100 a 249,177,26491,26373,16385,9988,6927,19446,24397.33,15393.71,9003.62,6511.72,17885.61,1068554.643,762903.079,305651.564,382770.259,685784.384,3.062798,3.465693,2.37396,4.110611,2.681315,3369.0781327301,3812.26177645085,2611.35618442702,4521.67262672889,2949.44622649588,R,100,177,26491.0
R,"Artes, cultura, esporte e recreação",250 a 499,59,20559,20517,12614,7903,5946,14571,19524.21,12176.88,7347.33,5928.11,13596.1,1062114.949,785821.967,276292.982,416733.788,645381.161,3.804188,4.512862,2.629688,4.915938,3.319448,4184.60720936094,4964.14874872583,2892.65710233409,5407.53211913565,3651.39302390448,R,250,59,20559.0
R,"Artes, cultura, esporte e recreação",500 ou mais,27,28266,28251,17520,10731,11655,16596,26916.97,16851.87,10065.1,11078.9,15838.07,2399664.208,2012202.113,387462.095,720439.245,1679224.963,6.234308,8.350019,2.692,4.547416,7.414307,6857.73898256522,9185.02088629196,2961.20024028192,5002.15756632323,8155.73810445338,R,500,27,28266.0
S,Outras atividades de serviços,0 a 4,225782,255032,95203,36147,59056,12405,82798,100141.96,38922.98,61218.98,13471.92,86670.04,2314088.677,981088.301,1333000.376,563801.073,1750287.604,1.61595,1.76265,1.522678,2.92658,1.412227,1777.54481046399,1938.9145138978,1674.94607818586,3219.237740997,1553.44924266794,S,0,225782,255032.0
S,Outras atividades de serviços,5 a 9,20763,132873,98795,41156,57639,14549,84246,94882.4,40408.6,54473.8,13912.85,80969.55,2415737.237,1107471.125,1308266.112,638618.644,1777118.593,1.780443,1.916561,1.679471,3.209885,1.534824,1958.48694075711,2108.21672956899,1847.41756163937,3530.87333486116,1688.3066564007,S,5,20763,132873.0
S,Outras atividades de serviços,10 a 19,9559,121389,92921,41777,51144,16611,76310,90088.27,41261.79,48826.48,15975.28,74112.99,2627933.219,1286450.375,1341482.844,865207.385,1762725.834,2.039905,2.180263,1.921293,3.787352,1.663238,2243.89600503868,2398.28958350683,2113.42263460319,4166.08749460224,1829.56179372978,S,10,9559,121389.0
S,Outras atividades de serviços,20 a 29,1920,45648,43020,21452,21568,8292,34728,42415.31,21507.36,20907.95,8132.34,34282.97,1355109.772,721833.123,633276.649,479217.31,875892.462,2.234168,2.347003,2.118098,4.120794,1.786637,2457.58461345135,2581.70341902278,2329.90744595311,4532.87368703227,1965.30065017031,S,20,1920,45648.0
S,Outras atividades de serviços,30 a 49,1359,51104,49471,24944,24527,11211,38260,48111.45,24505.84,23605.61,10885.14,37226.31,1723951.907,921885.705,802066.202,732075.34,991876.567,2.505767,2.630701,2.376068,4.703116,1.863252,2756.34355551217,2893.77083176908,2613.6753150563,5173.42796622806,2049.57723345501,S,30,1359,51104.0
S,Outras atividades de serviços,50 a 99,920,62348,61067,30747,30320,15083,45984,60359.62,30658.84,29700.78,14762.3,45597.32,2189672.237,1155333.078,1034339.159,1045933.319,1143738.918,2.53686,2.635211,2.435337,4.954661,1.754089,2790.54649321975,2898.73247750956,2678.87074656988,5450.1269554098,1929.49753997013,S,50,920,62348.0
S,Outras atividades de serviços,100 a 249,498,75926,75204,37117,38087,17249,57955,72239.59,35905.86,36333.73,16517.28,55722.31,2614736.526,1375172.769,1239563.757,1294199.374,1320537.152,2.531143,2.678279,2.385739,5.479319,1.65724,2784.25692785738,2946.10742347649,2624.31240147294,6027.25133920355,1822.96428348137,S,100,498,75926.0
S,Outras atividades de serviços,250 a 499,177,59194,58963,28669,30294,11987,46976,57748.69,27661.13,30087.56,11739.23,46009.46,1984774.856,1005781.398,978993.458,963512.782,1021262.074,2.403439,2.542715,2.275395,5.739603,1.552223,2643.78272343627,2796.98623469662,2502.93440468164,6313.56297186049,1707.44497059785,S,250,177,59194.0
S,Outras atividades de serviços,500 ou mais,96,117933,117818,62023,55795,27309,90509,111227.74,59780.1,51447.64,25216.57,86011.17,3448529.999,1913816.898,1534713.101,1532552.285,1915977.714,2.168128,2.238761,2.086055,4.250042,1.557756,2384.94046884901,2462.6369721954,2294.66023947992,4675.04649949189,1713.53210375958,S,500,96,117933.0
U,Organismos internacionais e outras instituições etraterritoriais,0 a 4,96,,,,,,,,,,,,,,,,,5.375544,5.139091,5.556616,7.419924,3.531382,,,,,,U,0,96,0.0
U,Organismos internacionais e outras instituições etraterritoriais,5 a 9,81,540,510,247,263,219,291,511.4,247.03,264.37,216.99,294.41,36034.186,17351.582,18682.604,21878.462,14155.724,4.927402,4.911943,4.941846,7.050843,3.362354,5420.14169248819,5403.13758216847,5436.03050503228,7755.92707214441,3698.58987858376,U,5,81,540.0
U,Organismos internacionais e outras instituições etraterritoriais,10 a 19,50,698,682,340,342,316,366,693.78,353.2,340.58,322.2,371.58,58820.744,27400.819,31419.925,37707.47,21113.274,5.928881,5.425088,6.451341,8.184004,3.973445,6521.76859434492,5967.59713389668,7096.47456601183,9002.40414458292,4370.7896011626,U,10,50,698.0
U,Organismos internacionais e outras instituições etraterritoriais,20 a 29,18,,,,,,,,,,,,,,,,,5.726369,5.440652,6.060771,7.557491,4.570377,,,,,,U,20,18,0.0
U,Organismos internacionais e outras instituições etraterritoriais,30 a 49,8,310,309,161,148,135,174,309.03,160.22,148.81,133.47,175.56,26727.788,12999.993,13727.795,14614.238,12113.55,6.048203,5.674013,6.451083,7.656962,4.825139,6653.02298258322,6241.41468941744,7096.191322957,8422.65792946845,5307.65287344235,U,30,8,310.0
U,Organismos internacionais e outras instituições etraterritoriais,50 a 99,5,403,403,192,211,246,157,405.66,196.07,209.59,251.43,154.23,39917.02,16753.779,23163.241,31873.075,8043.945,6.881132,5.975381,7.728456,8.864839,3.647239,7569.24518069319,6572.91901244061,8501.30144200949,9751.32243566798,4011.96265318032,U,50,5,403.0
U,Organismos internacionais e outras instituições etraterritoriais,100 a 249,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,U,100,1,100.0
U,Organismos internacionais e outras instituições etraterritoriais,250 a 499,1,,,,,,,,,,,,,,,,,,,,,,,,,,,U,250,1,0.0
U,Organismos internacionais e outras instituições etraterritoriais,500 ou mais,1,,,,,,,,,,,,,,,,,,,,,,,,,,,U,500,1,0.0
