setor,id_firma,faixa_pessoal,numero_firmas_representadas,pessoal_ocupado_firma,market_share_domestico,preco_relativo,qualidade_media_ponderada,pessoal_ocupado_medio_por_firma,peso_variedade,tipo_agente,qualidade,qualidade_efetiva_coorte,qualidade_por_firma
M,M_C000004,coorte de 10000 firmas,10000,64954,0.019405380471412662,1.0,4.048057383452336,6.4954,10000,coorte_firmas,0.1393031961995584,0.9742459026386087,0.9586922020106416
M,M_C000005,coorte de 10000 firmas,10000,65556,0.01958523142814805,1.0,6.03453973513448,6.5556,10000,coorte_firmas,0.13994724516098217,0.9788057038726554,0.9631792066508045
M,M_C000006,coorte de 10000 firmas,10000,73825,0.022055642659451914,1.0,5.766598545017188,7.3825,10000,coorte_firmas,0.14851142265648093,1.0386786792316294,1.0220963182674554
M,M_C000007,coorte de 10000 firmas,10000,70456,0.02104913456436633,1.0,4.6492338496405115,7.0456,10000,coorte_firmas,0.14508319876666054,1.0146747528726907,0.9984756112615276
M,M_C000008,coorte de 10000 firmas,10000,69855,0.020869582363373024,1.0,6.298787946119048,6.9855,10000,coorte_firmas,0.1444630830467529,1.0103897494939003,0.9942590173669986
M,M_C000009,coorte de 10000 firmas,10000,68167,0.020365282670732933,1.0,5.968445251523888,6.8167,10000,coorte_firmas,0.14270698185699582,0.9980897732654075,0.9821554085519804
M,M_C000010,coorte de 10000 firmas,10000,69299,0.02070347417077356,1.0,5.446553868915096,6.9299,10000,coorte_firmas,0.14388701877088692,1.0063299085709692,0.9902639912409701
M,M_C000011,coorte de 10000 firmas,10000,68296,0.020403822161461943,1.0,5.416405056360071,6.8296,10000,coorte_firmas,0.14284194818561508,0.9990210649011153,0.9830718322459705
M,M_C000012,coorte de 10000 firmas,10000,75485,0.022551577191313617,1.0,8.894525423906291,7.5485,10000,coorte_firmas,0.15017182555763786,1.0503766519486946,1.033607534473559
M,M_C000013,coorte de 10000 firmas,10000,68058,0.020332718294845627,1.0,5.8864080389034035,6.8058,10000,coorte_firmas,0.14259284096631789,0.9972961517344652,0.9813744570786392
M,M_C000014,coorte de 10000 firmas,10000,62592,0.018699719408607034,1.0,3.769663721508101,6.2592,10000,coorte_firmas,0.13674691736418423,0.9563637110159132,0.9410954970954788
M,M_C000015,coorte de 10000 firmas,10000,60519,0.018080398755264078,1.0,3.5116677407816272,6.0519,10000,coorte_firmas,0.134463373285308,0.9403929233392623,0.92537968082763
M,M_C000016,coorte de 10000 firmas,10000,74456,0.022244157532707778,1.0,5.927769449126456,7.4456,10000,coorte_firmas,0.1491447536211307,1.043110384244751,1.0264572717250828
