periodo,simulacao,seed,ano,indice_populacao,pea,indice_precos,inflacao,indice_salarios,indice_cambio,taxa_juros_nominal,pib_real,pib_nominal,emprego,taxa_desemprego,consumo_real,consumo_nominal,poupanca_familias_nominal,fbcf_familias_nominal,fbcf_nf_real,fbcf_nf_nominal,fbcf_fixa_nominal,variacao_estoques_real,variacao_estoques_nominal,variacao_autonoma_estoques_real,variacao_ciclica_estoques_real,estoque_real,investimento_liquido_nf_real,investimento_reposicao_nf_real,ajuste_piso_investimento_nf_real,estoque_capital_nf_real,setores_no_piso_investimento_nf,residuo_consumo,iteracoes_consumo,deficit_governo,saldo_setor_externo,discrepancia_cei,producao_real,vendas_real,importacoes_nominais,exportacoes_nominais,governo_real,fbcf_fixa_real,exportacoes_real,renda_disponivel_real,consumo_intermediario_real,investimento_nf_real,demanda_esperada_total,vendas_real_total
10,1,42,2030,1.0,115144635.73085847,1.3084113808188438,0.022150539511199385,1.2943717903103713,1.3184591409479391,0.08652285980855516,7513863.005084518,9831223.869766261,94290828.42710698,0.18110967281615822,4750979.256371412,6216235.329070603,2416047.4905609125,531822.6629882078,551370.4243395225,775400.7230897979,201248.12246395723,8516.542021065814,11230.378916088455,,,,,,,,,,,,,-3545.3460984786507,12760748.60171095,12718259.90089521,1538918.2397206677,1643263.4667120334,1534560.0003953038,153637.5765014832,1253969.8223155153,6597529.604358202,5937820.53206314,551370.4243395225,12908170.860912537,12718259.90089521
11,1,42,2031,1.0,115144635.73085847,1.3352702763536541,0.02052786755645708,1.3195037773801992,1.3476637222434085,0.08500112669532742,7502218.950752809,10017489.971637323,94220429.12539373,0.18172107169953994,4746455.340123711,6337800.733707265,2463295.989895853,542199.152484626,552414.6183254565,790927.6231287395,205428.48479682935,10025.251448124396,13604.3749307895,,,,,,,,,,,,,-3963.928957262775,12726019.831832604,12673157.345341263,1579788.5355746597,1677443.3893158517,1534488.6331633537,153650.00706563052,1254072.4022208536,6591247.389732276,5917824.262020627,552414.6183254565,12843270.665526489,12673157.345341263
12,1,42,2032,1.0,115144635.73085847,1.3609010305323226,0.019195180655605437,1.3449553281235067,1.3753283846442632,0.08338026669866182,7465223.603503635,10159430.495162316,93813582.36070512,0.18525442574687553,4732234.040827124,6440102.182881771,2503057.219398046,551951.1932723148,554603.3663291862,812532.4868449658,209343.013247384,-16055.099695898687,-21511.317255679685,,,,,,,,,,,,,-3803.931271300651,12665094.120477138,12647259.909834515,1609590.0801891822,1709431.5900197763,1533131.437971242,153618.43123814664,1253811.6101871768,6571498.736231877,5886514.380354263,554603.3663291862,12785136.11806918,12647259.909834515
13,1,42,2033,1.0,115144635.73085847,1.385402373402891,0.018003765388424187,1.3699191734858678,1.4017280614482919,0.0818635642843436,7462700.252549783,10338842.641876824,93620421.0570066,0.186931979394707,4730407.633352206,6553517.962409299,2547138.225829065,560053.1974979738,560613.8496341417,834268.1051071471,213078.0206475962,-16295.939124398108,-22272.174530438984,,,,,,,,,,,,,-4220.363896702183,12630721.041004758,12624404.348120641,1644903.2423304964,1739941.9999752413,1533560.230173722,153591.18073557472,1253653.5247637106,6568962.463868818,5869039.844154086,560613.8496341417,12738018.285308495,12624404.348120641
14,1,42,2034,1.0,115144635.73085847,1.4092478042016052,0.017211917098238994,1.394881073698725,1.4269644446049776,0.08047375929270345,7464460.649746711,10519274.78020484,93524539.50285806,0.1877646847442871,4725518.480665741,6659426.5425923,2588301.4292527474,569256.5731349686,568819.5413308251,858644.9950676162,216653.77331416387,-19179.224374744244,-26768.22174221552,,,,,,,,,,,,,-3697.30798638775,12606799.963849245,12608532.308182342,1669189.8216040165,1768953.2938857407,1532945.0137792018,153532.59879841923,1253114.6478833794,6562173.057338381,5856371.341086723,568819.5413308251,12699191.844109962,12608532.308182342
15,1,42,2035,1.0,115144635.73085847,1.43273111191027,0.016663717792321675,1.4200645313929305,1.4515252383276531,0.07935916495925313,7438041.032278765,10656712.798610967,92877829.62262852,0.19338118503650362,4723097.646761064,6766928.94310476,2630084.0985433953,577967.5448421591,575407.9132576502,885922.5594887445,220188.9682304032,-47240.36473266033,-67382.07996643557,,,,,,,,,,,,,-4388.574389562244,12548633.969705816,12580045.388889065,1703282.7101661477,1797691.4782386704,1532662.927646627,153492.27360407187,1252788.792836914,6558811.324421548,5829089.032376567,575407.9132576502,12668209.842888052,12580045.388889065
0,2,43,2020,1.0,115144635.73085847,1.0,0.03,1.0,1.0,0.0918000000000001,7609597.0,7609597.0,99254676.0,0.138,4805004.0,0.6314400092409624,1867548.0,410010.0,640275.1974163632,640275.1974163632,153403.99999999985,-33878.0,-33878.0,-33878.0,0.0,942722.5833333333,0.0,640275.1974163634,0.0,12805503.948327264,0.0,0.0,0.0,0.12063832026847152,0.010583740505574736,0.0,,,,,,,,,,,,
1,2,43,2021,1.0,115144635.73085847,1.0299999999999998,0.029999999999999805,1.03,1.03,0.0918000000000001,7621678.319992126,7850328.669591888,98963328.77182677,0.140530271830068,4808684.110790998,4952944.634114726,1925047.6889408808,422310.3,650556.4431237456,728569.6613950005,158006.11999999988,-32085.743015770706,-33048.31530624382,,,,,,,,,,,,,-46.91713814600371,13305471.679709664,13316723.396910617,1246187.4034734487,1289610.47,1532204.0,153403.99999999988,1252049.0000000002,6677662.449568552,6204643.536950069,650556.4431237456,13317776.47198523,13316723.396910617
2,2,43,2022,1.0,115144635.73085847,1.0607061551668653,0.02981180113287918,1.0601527858365607,1.0608999999999997,0.0918000000000001,7640150.117806666,8103954.256356381,98099892.31055312,0.1480289838264468,4811695.447745666,5103794.978212214,1983678.2870462257,435312.75610101066,648186.4594705317,744370.10703813,162746.30359999984,-2948.3673523638618,-3127.281257894456,,,,,,,,,,,,,-908.4085513553582,13255793.645810822,13210539.686356403,1292048.2064857243,1328298.7840999996,1532944.1463846588,153426.63964781683,1252209.0855732688,6681844.194769919,6185020.90339183,648186.4594705317,13317416.59397665,13210539.686356403
3,2,43,2023,1.0,115144635.73085847,1.0916187112753315,0.029143373928666616,1.0890031673431644,1.0925273398218713,0.09170024673208332,7664081.292760431,8366254.543912518,98334175.08631174,0.14599430132238084,4816869.235087049,5258184.586787519,2043684.4815708501,448493.11155418266,624810.0005175842,734903.3841176867,167579.22746739982,41865.50855909467,45630.31509363035,,,,,,,,,,,,,-1263.5421667410992,13253833.901641773,13150143.81387007,1327734.82779391,1367797.9679489587,1534403.716597057,153486.5598157542,1252670.0344923525,6689028.864142169,6182403.855189825,624810.0005175842,13280892.46611074,13150143.81387007
