simulacao,seed,periodo,firma,setor,regime,preco_capital,demanda_esperada,expectativa_vendas_real,producao_desejada_real,producao_planejada_real,producao_real,vendas_real,vendas_nominal,demanda_recebida_real,demanda_nao_atendida_real,producao_nao_vendida_real,excedente_nao_estocavel_real,estoque,variacao_estoque_real,capital_real,capital_desejado,gap_capital,investimento_liquido,investimento_reposicao,investimento_bruto,preco_firma,preco_transacao,market_share_desejado,market_share_realizado,qualidade_base,desvio_qualidade,qualidade,eob_realizado,r_obs_bruto,r_obs,r_ajustado,demanda_trabalho,fator_clima,producao_normal_real,capacidade_estrutural_real,capacidade_efetiva_real,taxa_utilizacao_capacidade,valor_producao_nominal,consumo_intermediario_nominal,valor_adicionado_nominal
2,43,6,N_012,N - Atividades administrativas e serviços complementares,industrial,1.184497793288698,25044.05638883917,25699.605389940654,24505.13939568472,24505.13939568472,24505.13939568472,21722.214630850394,25585.933664024345,21722.214630850394,0.0,2782.924764834326,0.0,7389.307058294428,2782.924764834326,27678.3495608937,26964.356022048396,-1427.9870776906137,-713.9935388453068,1419.6171549869505,705.6236161416437,1.177869480567907,1.177869480567907,0.04712462150409159,0.04724138253877072,0.2581988897471611,-0.10203053182166372,0.23315410892143357,7130.3416379172195,0.21201903249021073,0.1620190324902107,-0.00044125119168642035,338463.17337732454,1.0,25154.014940226403,31442.518675283,31442.518675282998,0.759764163945913,28863.85581123932,8622.897346876913,20240.958464362404
2,43,6,N_013,N - Atividades administrativas e serviços complementares,industrial,1.184497793288698,24836.052206385597,25699.605389940654,24232.391418297346,24232.391418297346,24232.391418297346,26250.2981175755,30920.337662200694,26250.2981175755,0.0,0.0,0.0,2827.096290569113,-2017.9066992781554,27354.038362989726,26664.23638396701,-1379.6039580454308,-689.8019790227154,1402.1920171006223,712.3900380779069,1.1779042479330335,1.1779042479330335,0.0569481918546162,0.05709072488458214,0.2581988897471611,0.02280292674250284,0.2641542215636554,7051.821751250861,0.21229002305158295,0.16229002305158297,-0.00017026063031416738,334695.99848114606,1.0,24859.281733702945,31074.10216712868,31074.10216712868,0.7606443642177311,28543.43678918843,8526.922466970951,20016.514322217477
2,43,6,N_014,N - Atividades administrativas e serviços complementares,industrial,1.184497793288698,26928.85003061644,25699.605389940654,27587.63826153634,27587.63826153634,27587.63826153634,27587.63826153634,32605.44483210468,27756.393092031118,168.7548304947777,0.0,0.0,9.094947017729282e-13,0.0,29889.726069335884,30356.199484527137,932.9468303825051,466.47341519125257,1471.1626327072318,1937.6360478984843,1.1818860506651032,1.1818860506651032,0.060246039254612346,0.06020207479573244,0.2581988897471611,0.03999381053234495,0.26873452300457235,8138.074233463378,0.23350528259347786,0.18350528259347787,0.021044998911580737,381038.4197867315,1.0,27163.708387064435,33954.63548383054,33954.63548383054,0.8253662459782763,32605.44483210468,9707.570682658208,22897.87414944647
2,43,6,N_015,N - Atividades administrativas e serviços complementares,industrial,1.184497793288698,26357.402303794628,25699.605389940654,26689.948544460512,26689.948544460512,26689.948544460512,25474.39041439988,30083.604123053374,25474.39041439988,0.0,1215.5581300606318,0.0,2464.606430699362,1215.5581300606318,29163.16621472351,29368.42199272364,410.5115560002596,205.2557780001298,1447.895521836169,1653.151299836299,1.1809351915266262,1.1809351915266262,0.05528622213129447,0.05554579595117144,0.2581988897471611,-0.008792106977954024,0.2559387278389638,7847.886465732386,0.2287974790665626,0.17879747906656257,0.016337195384665437,368639.595791338,1.0,26503.412606144386,33129.26575768048,33129.26575768048,0.8113409165180555,31519.09949618827,9391.690566462872,22127.4089297254
2,43,6,O_001,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,58472.12528310909,60548.50735739354,57405.04367787557,57405.04367787557,57405.04367787557,58072.95394737809,68393.91574596125,58072.95394737809,0.0,0.0,0.0,9322.271771644166,-667.9102695025213,0.0,0.0,0.0,0.0,0.0,0.0,1.1777240711387842,1.1777240711387842,0.06365268942165642,0.0636945945804859,0.2581988897471611,-0.004202281153286554,0.2571161420175342,7906.523255729108,,,,312550.151999116,1.0,,inf,inf,,67607.30174420733,17492.287461352134,50115.0142828552
2,43,6,O_002,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,60294.09937115233,60548.50735739354,60405.05408706097,60405.05408706097,60405.05408706097,62429.500017261795,73600.81950973261,62429.500017261795,0.0,0.0,0.0,3431.8821510909584,-2024.4459302008254,0.0,0.0,0.0,0.0,0.0,0.0,1.178942959488414,1.178942959488414,0.06849575566935034,0.06854373387359046,0.2581988897471611,0.03942211166765558,0.2685809316910409,8393.34832171415,,,,328884.14722523943,1.0,,inf,inf,,71214.11323345738,18406.44135972718,52807.6718737302
2,43,6,O_003,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,57342.673456856646,60548.50735739354,55837.016644690055,55837.016644690055,55837.016644690055,58962.04881175863,69436.67150275536,58962.04881175863,0.0,0.0,0.0,8508.926922342649,-3125.0321670685735,0.0,0.0,0.0,0.0,0.0,0.0,1.177650249645121,1.177650249645121,0.0646233236312058,0.06466570296711736,0.2581988897471611,0.0005530283728032758,0.25834172055012056,7686.433462654674,,,,304012.7995965824,1.0,,inf,inf,,65756.47659105803,17014.483110822162,48741.99348023587
2,43,6,O_004,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,60372.49879244583,60548.50735739354,60252.301737553185,60252.301737553185,60252.301737553185,60708.410418723965,71545.2526494696,60708.410418723965,0.0,0.0,0.0,5932.498346922298,-456.10868117077916,0.0,0.0,0.0,0.0,0.0,0.0,1.1785064401456193,1.1785064401456193,0.06658376956602749,0.06662940426737449,0.2581988897471611,0.01312117596531488,0.2616090867849731,8345.821920550434,,,,328052.46472840547,1.0,,inf,inf,,71007.72563130352,18359.89513596711,52647.83049533641
2,43,6,O_005,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,61430.76145689278,60548.50735739354,61980.47014324668,61980.47014324668,61980.47014324668,64328.58974442727,75844.90130518914,64328.58974442727,0.0,0.0,0.0,1464.4219458540583,-2348.119601180588,0.0,0.0,0.0,0.0,0.0,0.0,1.1790232244561138,1.1790232244561138,0.0705839889554243,0.07063362562211917,0.2581988897471611,0.0022762069949090885,0.25878727325336726,8617.228965961105,,,,337461.73024365405,1.0,,inf,inf,,73076.4137615966,18886.497270505126,54189.91649109148
2,43,6,O_006,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,63833.7615375608,60548.50735739354,65395.39267994085,65395.39267994085,65395.39267994085,63419.8238818854,74821.23236925906,63419.8238818854,0.0,1975.5687980554503,0.0,1975.5687980554476,1975.5687980554503,0.0,0.0,0.0,0.0,0.0,0.0,1.179776728939013,1.179776728939013,0.06962951437147874,0.06968029260780709,0.2581988897471611,0.03167350635470874,0.26650784618992773,9141.286007036611,,,,356054.7752014846,1.0,,inf,inf,,77151.9624636229,19927.081909814904,57224.88055380799
